date_key,date,year,quarter,month,month_name,week,day,day_of_week,day_name,is_weekend
1,2023-01-01,2023,1,1,January,52,1,6,Sunday,1
2,2023-01-02,2023,1,1,January,1,2,0,Monday,0
3,2023-01-03,2023,1,1,January,1,3,1,Tuesday,0
4,2023-01-04,2023,1,1,January,1,4,2,Wednesday,0
5,2023-01-05,2023,1,1,January,1,5,3,Thursday,0
6,2023-01-06,2023,1,1,January,1,6,4,Friday,0
7,2023-01-07,2023,1,1,January,1,7,5,Saturday,1
8,2023-01-08,2023,1,1,January,1,8,6,Sunday,1
9,2023-01-09,2023,1,1,January,2,9,0,Monday,0
10,2023-01-10,2023,1,1,January,2,10,1,Tuesday,0
11,2023-01-11,2023,1,1,January,2,11,2,Wednesday,0
12,2023-01-12,2023,1,1,January,2,12,3,Thursday,0
13,2023-01-13,2023,1,1,January,2,13,4,Friday,0
14,2023-01-14,2023,1,1,January,2,14,5,Saturday,1
15,2023-01-15,2023,1,1,January,2,15,6,Sunday,1
16,2023-01-16,2023,1,1,January,3,16,0,Monday,0
17,2023-01-17,2023,1,1,January,3,17,1,Tuesday,0
18,2023-01-18,2023,1,1,January,3,18,2,Wednesday,0
19,2023-01-19,2023,1,1,January,3,19,3,Thursday,0
20,2023-01-20,2023,1,1,January,3,20,4,Friday,0
21,2023-01-21,2023,1,1,January,3,21,5,Saturday,1
22,2023-01-22,2023,1,1,January,3,22,6,Sunday,1
23,2023-01-23,2023,1,1,January,4,23,0,Monday,0
24,2023-01-24,2023,1,1,January,4,24,1,Tuesday,0
25,2023-01-25,2023,1,1,January,4,25,2,Wednesday,0
26,2023-01-26,2023,1,1,January,4,26,3,Thursday,0
27,2023-01-27,2023,1,1,January,4,27,4,Friday,0
28,2023-01-28,2023,1,1,January,4,28,5,Saturday,1
29,2023-01-29,2023,1,1,January,4,29,6,Sunday,1
30,2023-01-30,2023,1,1,January,5,30,0,Monday,0
31,2023-01-31,2023,1,1,January,5,31,1,Tuesday,0
32,2023-02-01,2023,1,2,February,5,1,2,Wednesday,0
33,2023-02-02,2023,1,2,February,5,2,3,Thursday,0
34,2023-02-03,2023,1,2,February,5,3,4,Friday,0
