inventory_id,date_key,product_id,facility_id,stock_level,safety_stock_level,reorder_point
1,225,4,3,1079,409,251
2,54,5,3,886,227,450
3,4,4,3,475,172,574
4,304,4,3,1963,298,571
5,55,3,3,1151,63,267
6,33,5,2,980,205,478
7,129,4,1,1561,107,251
8,213,3,3,696,82,283
9,29,5,1,1567,409,400
10,195,2,2,485,121,495
11,66,5,1,1879,100,266
12,95,4,1,1106,434,318
13,127,4,1,1092,373,512
14,71,5,1,302,78,479
15,243,3,3,1763,340,100
16,349,5,3,1673,451,228
17,61,4,1,698,151,219
18,243,4,1,534,176,264
19,203,1,2,488,477,239
20,89,3,2,1762,360,167
21,211,1,1,1117,419,170
22,331,4,3,1253,213,336
23,45,3,3,283,409,275
24,291,3,3,1055,177,139
25,289,3,3,1786,196,242
26,69,5,1,568,226,253
27,195,5,3,449,173,282
28,223,4,2,1864,326,508
29,140,3,3,749,296,450
30,324,3,1,814,230,476
31,160,3,2,1141,172,269
32,114,5,2,1567,129,124
33,242,4,2,1031,119,124
34,24,3,1,264,395,508
35,307,3,3,1686,50,372
36,228,2,2,1623,131,430
37,194,1,1,972,284,376
38,12,5,3,588,306,541
39,105,2,2,1280,76,371
40,121,4,3,1850,196,466
41,217,1,1,658,139,324
42,128,4,1,1128,429,585
43,172,5,1,1046,357,490
44,301,4,2,346,256,430
45,185,3,1,774,247,488
46,45,3,3,1199,112,197
47,122,4,2,1457,400,178
48,274,4,3,1398,275,508
49,51,4,1,418,302,235
50,97,4,1,1242,290,484
51,349,3,3,574,415,545
52,285,2,2,240,427,260
53,342,2,1,911,372,561
54,76,4,2,1698,284,274
55,191,4,1,1058,389,415
56,162,1,3,1516,179,142
57,68,4,3,564,86,232
58,261,2,2,850,230,445
59,330,5,2,1343,250,458
60,121,5,2,501,274,121
61,153,4,1,1273,88,290
62,190,4,3,692,172,357
63,202,5,1,451,433,454
64,79,1,2,570,208,201
65,168,2,1,715,68,102
66,287,4,2,648,347,100
67,117,4,1,1663,228,581
68,209,1,1,695,172,332
69,204,2,2,1038,416,238
70,261,4,1,753,83,353
71,230,2,2,681,426,326
72,231,2,3,685,487,214
73,115,5,2,1552,363,552
74,73,4,2,452,320,448
75,307,5,3,1998,78,116
76,337,2,1,366,234,334
77,157,4,2,1946,291,484
78,179,3,1,1134,183,516
79,311,3,1,451,95,273
80,81,1,2,1920,410,513
81,334,5,2,455,120,432
82,247,2,2,1854,76,151
83,111,3,2,1753,266,208
84,347,4,3,1294,178,236
85,115,2,2,1093,122,344
86,39,1,3,385,199,299
87,240,2,2,1120,199,430
88,212,1,1,998,486,486
89,265,2,2,1719,173,531
90,181,4,1,952,499,381
91,179,5,3,1054,247,439
92,241,3,1,360,418,408
93,339,2,3,1459,398,495
94,52,2,2,361,498,165
95,140,4,2,1104,360,566
96,322,4,1,474,258,292
97,356,3,1,1727,160,448
98,277,2,1,1960,273,122
99,168,4,1,1383,349,339
100,235,5,3,1216,86,361
101,11,1,3,1235,343,270
102,61,1,1,1429,54,325
103,284,4,2,532,291,460
104,261,3,1,1990,328,310
105,15,4,3,785,237,323
106,337,4,3,1448,347,310
107,297,1,2,1086,258,158
108,78,4,3,611,147,464
109,361,3,1,1372,201,224
110,337,1,3,932,475,449
111,172,1,1,1136,291,196
112,135,1,2,982,290,288
113,251,5,3,567,353,269
114,352,2,2,1053,171,210
115,44,4,1,1689,311,458
116,262,5,2,619,279,292
117,194,4,1,1558,244,355
118,4,3,1,1620,287,379
119,64,2,3,1594,321,350
120,261,4,3,1697,462,213
121,165,4,3,1233,251,390
122,103,2,1,1866,107,124
123,154,3,1,1908,272,225
124,158,3,1,1459,436,370
125,263,4,2,1681,408,126
126,111,2,1,1927,159,498
127,87,1,3,1121,71,371
128,148,1,3,408,370,461
129,271,5,2,1868,208,417
130,156,2,3,1789,310,481
131,323,3,1,1707,424,539
132,131,5,1,820,343,121
133,185,3,3,821,453,314
134,55,5,3,279,498,292
135,192,3,1,1280,392,500
136,57,4,1,1733,430,414
137,36,3,1,526,113,366
138,265,2,3,1820,335,229
139,163,5,3,631,245,448
140,88,1,1,1312,422,285
141,139,4,3,1218,440,425
142,1,3,2,620,494,367
143,265,1,3,1490,397,282
144,125,5,3,270,229,213
145,120,4,1,349,174,230
146,333,4,3,1745,208,464
147,29,4,1,309,322,176
148,302,1,3,1306,255,293
149,288,5,3,1841,324,191
150,159,3,3,407,440,165
151,218,5,1,382,171,356
152,360,4,3,519,416,592
153,207,5,3,1035,72,435
154,362,3,2,1357,115,420
155,243,5,1,1229,172,219
156,262,4,1,1146,359,386
157,157,4,3,1241,300,207
158,159,3,3,490,125,223
159,202,2,2,751,92,323
160,255,5,1,1336,444,478
161,120,4,2,1634,334,227
162,360,5,1,1994,468,349
163,255,3,2,845,366,117
164,132,1,3,228,205,273
165,349,1,1,948,491,125
166,128,4,1,1443,273,123
167,136,3,3,419,184,268
168,360,3,1,382,176,467
169,321,5,3,1923,322,385
170,363,4,3,1569,371,363
171,37,1,2,1795,199,167
172,87,3,3,283,205,273
173,207,3,1,599,362,287
174,221,1,1,1428,51,273
175,171,5,1,871,141,316
176,139,5,3,783,261,573
177,79,5,3,1797,238,173
178,189,5,1,491,222,100
179,108,4,2,443,70,578
180,110,5,3,978,259,161
181,294,5,1,980,233,529
182,176,4,1,1077,493,502
183,128,3,1,572,400,102
184,24,2,1,698,244,569
185,214,5,1,740,213,457
186,338,2,1,1661,474,202
187,73,1,1,1408,294,541
188,221,2,2,1385,68,445
189,352,1,1,1559,97,220
190,140,2,1,881,184,178
191,105,5,3,1766,143,418
192,145,2,1,568,444,432
193,217,3,1,573,258,479
194,270,2,2,1890,494,365
195,153,1,2,578,145,537
196,269,3,2,1018,420,501
197,293,2,2,888,309,168
198,266,1,1,1956,233,158
199,73,1,2,286,439,527
200,124,5,1,1846,239,336
201,100,1,1,1699,164,323
202,261,3,2,1325,207,276
203,13,4,2,1553,492,598
204,20,1,2,1953,348,455
205,28,3,1,1670,154,466
206,115,4,1,1822,238,344
207,207,2,3,302,301,539
208,277,1,1,1817,287,503
209,192,5,2,331,361,251
210,17,2,1,1724,107,562
211,198,5,2,1664,492,523
212,110,3,2,1847,498,157
213,25,3,2,1138,493,506
214,74,4,3,751,358,140
215,19,5,1,1120,60,542
216,267,3,3,1230,129,241
217,32,5,2,1223,158,588
218,266,3,3,677,98,142
219,239,5,3,1842,91,202
220,226,4,3,205,266,494
221,115,2,1,752,159,185
222,44,1,2,1959,367,198
223,93,3,3,1260,243,514
224,93,5,3,1180,140,116
225,214,3,2,416,289,437
226,334,3,1,1809,69,334
227,258,1,2,730,271,280
228,268,4,2,1035,322,145
229,86,1,1,515,421,208
230,65,2,2,420,221,305
231,242,2,3,1560,321,252
232,76,2,1,1805,107,508
233,332,2,2,941,432,282
234,68,2,1,298,454,224
235,273,5,3,651,358,249
236,181,3,3,1142,131,317
237,240,5,1,1904,187,269
238,122,5,1,1352,172,111
239,52,1,1,1303,311,538
240,17,1,3,288,66,142
241,235,5,3,1263,317,579
242,318,2,3,1483,347,137
243,326,4,3,892,109,104
244,308,3,2,1025,466,409
245,262,2,3,985,341,372
246,96,1,1,1342,72,568
247,220,5,1,441,294,464
248,357,1,2,478,52,500
249,320,3,2,1587,170,387
250,349,5,2,780,116,417
251,59,4,1,430,367,133
252,107,5,2,310,223,286
253,22,1,2,280,314,333
254,325,2,1,1399,132,168
255,46,1,1,1748,71,189
256,52,3,3,1803,127,487
257,245,4,2,1921,483,208
258,173,3,1,1714,400,311
259,99,3,2,933,161,578
260,181,2,3,783,433,345
261,36,1,2,525,275,427
262,18,2,2,1419,103,425
263,12,2,3,1441,102,308
264,313,5,2,959,294,462
265,114,1,3,1056,264,483
266,217,5,3,1500,338,316
267,41,1,3,996,295,487
268,250,2,2,1681,218,497
269,117,4,2,639,397,586
270,20,5,1,1307,326,564
271,124,1,2,881,75,287
272,112,5,2,1307,315,562
273,203,1,3,544,369,316
274,122,5,3,1614,72,150
275,148,4,2,844,116,496
276,97,1,2,462,315,326
277,138,4,2,758,414,301
278,62,4,1,1891,281,203
279,64,4,1,664,172,129
280,217,5,3,1506,50,309
281,202,3,2,1689,77,348
282,24,2,3,1307,299,166
283,297,3,1,1153,344,117
284,207,3,1,585,288,376
285,344,5,1,436,423,444
286,335,3,3,861,156,143
287,241,3,1,729,127,156
288,138,5,2,1551,235,283
289,261,2,3,1758,87,459
290,165,2,1,998,370,146
291,287,3,3,1606,51,490
292,151,2,3,860,375,470
293,255,5,3,865,195,322
294,11,4,1,1666,357,582
295,74,1,1,691,359,552
296,150,5,2,1272,451,556
297,233,2,2,322,455,548
298,293,3,2,1055,224,481
299,27,2,2,1579,381,118
300,1,3,2,1083,124,268
301,133,1,3,1771,431,346
302,11,4,2,1304,160,195
303,225,4,1,1649,423,165
304,336,5,3,311,205,437
305,28,1,2,438,91,500
306,285,5,2,553,344,541
307,144,1,3,597,196,454
308,319,1,3,610,325,227
309,4,4,3,1022,117,295
310,51,1,3,376,460,274
311,100,1,2,1340,370,292
312,189,2,3,1120,140,241
313,82,1,3,399,95,432
314,211,4,2,783,282,467
315,356,4,3,1909,241,499
316,329,4,1,300,304,132
317,282,3,2,667,241,198
318,130,5,2,497,234,488
319,220,1,3,580,424,539
320,45,3,2,1305,355,354
321,316,4,2,1159,141,136
322,19,4,2,744,148,239
323,211,4,1,1673,306,466
324,105,1,2,750,308,586
325,293,3,1,1101,53,428
326,143,3,1,590,204,292
327,123,2,2,502,86,136
328,198,5,2,1329,72,437
329,362,4,3,778,204,548
330,248,2,1,1532,394,402
331,321,1,2,1642,387,490
332,269,2,2,1328,51,122
333,56,4,1,678,315,372
334,110,2,1,1199,477,269
335,185,4,2,1134,147,161
336,3,2,1,1085,395,458
337,301,4,2,853,76,595
338,249,3,2,987,342,457
339,328,2,1,1113,482,281
340,215,3,2,322,334,271
341,156,5,2,1846,254,404
342,289,5,1,1005,185,130
343,354,5,3,1901,430,526
344,98,2,2,1729,393,109
345,281,5,2,1321,365,458
346,318,3,1,1374,177,404
347,361,3,1,1924,398,221
348,321,5,1,385,498,349
349,235,5,1,1511,382,239
350,71,1,1,278,231,351
351,117,1,3,1595,74,392
352,156,2,3,932,278,132
353,337,1,2,685,184,399
354,358,3,2,1847,327,516
355,112,3,3,919,402,272
356,30,2,3,1779,416,591
357,129,2,1,1453,64,146
358,100,4,2,755,436,427
359,97,1,1,570,232,175
360,327,4,1,1702,174,280
361,112,5,1,1804,185,254
362,237,3,2,572,304,206
363,59,2,2,1739,280,584
364,274,5,1,705,353,542
365,263,4,2,673,498,582
366,189,5,3,1077,144,190
367,196,5,1,1347,141,430
368,121,2,1,1954,388,277
369,145,1,1,462,387,301
370,83,2,1,908,229,247
371,197,2,1,1578,423,196
372,359,1,3,763,343,474
373,183,1,1,1385,455,283
374,230,2,2,1507,490,117
375,13,1,2,1706,176,563
376,101,3,3,1740,282,292
377,217,5,1,1366,154,330
378,296,5,3,1640,62,434
379,143,4,3,759,213,537
380,28,2,2,227,359,360
381,192,5,1,1251,154,370
382,247,5,1,1596,480,289
383,203,5,1,790,352,185
384,221,1,3,924,375,464
385,123,1,1,575,377,265
386,133,5,3,1130,137,144
387,318,3,3,519,406,572
388,235,1,2,1840,257,160
389,170,5,1,651,260,407
390,322,4,3,226,343,580
391,20,5,2,1140,166,543
