procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,lead_time_days,total_cost,delivery_date_key,quality_score,po_number
1,551,15,7,210,293.49,20,61632.9,571,95.83,PO-2024-453239
2,68,3,9,1033,322.3,20,332935.9,88,90.34,PO-2024-893343
3,743,9,10,424,270.95,16,114882.8,759,85.61,PO-2025-270489
4,339,16,2,3105,223.75,17,694743.75,356,95.75,PO-2023-702169
5,243,9,5,4626,108.44,26,501643.44,269,87.55,PO-2023-226808
6,582,19,11,1722,140.68,18,242250.96,600,96.25,PO-2023-790792
7,160,11,13,2759,345.71,6,953813.89,166,91.92,PO-2023-234854
8,621,2,14,698,187.71,16,131021.58,637,98.74,PO-2023-824282
9,543,17,1,3564,25.76,25,91808.64,568,87.4,PO-2024-250319
10,289,8,14,2247,254.25,6,571299.75,295,96.53,PO-2024-882898
11,600,13,13,4625,35.66,6,164927.5,606,87.8,PO-2025-834210
12,105,13,14,2537,63.24,14,160439.88,119,97.7,PO-2023-860451
13,976,18,14,4523,172.59,20,780624.57,996,95.54,PO-2024-110691
14,1080,12,7,3740,89.49,6,334692.6,1086,86.53,PO-2025-918122
15,456,4,10,4954,36.88,11,182703.52,467,97.77,PO-2025-738852
16,722,1,2,1710,198.6,8,339606,730,94.79,PO-2024-589748
17,1050,6,5,2688,312.24,9,839301.12,1059,85.88,PO-2024-746052
18,335,11,6,293,173.13,12,50727.09,347,88.4,PO-2025-541030
19,606,19,11,4605,190.7,29,878173.5,635,89.39,PO-2025-862897
20,448,19,7,964,343.85,22,331471.4,470,93.28,PO-2024-285779
21,127,10,5,1371,155.77,17,213560.67,144,98.77,PO-2025-527517
22,923,9,5,4363,154.64,19,674694.32,942,92.87,PO-2025-270333
23,987,14,5,4323,267.36,21,1155797.28,1008,90.61,PO-2025-997378
24,758,3,14,4423,170.4,28,753679.2,786,98.63,PO-2024-780755
25,854,14,10,1424,19.1,16,27198.4,870,89,PO-2025-806012
26,491,14,13,1945,168.37,22,327479.65,513,93,PO-2023-366636
27,439,7,12,4824,289.71,13,1397561.04,452,87.96,PO-2024-693100
28,749,14,12,1446,123.39,21,178421.94,770,85.99,PO-2025-969084
29,555,7,2,316,6.11,5,1930.76,560,98.96,PO-2024-152609
30,324,18,2,4456,122.5,14,545860,338,89.83,PO-2025-742959
31,733,1,13,582,225.84,18,131438.88,751,92.98,PO-2024-443701
32,867,17,8,4909,238.65,16,1171532.85,883,85.43,PO-2025-975751
33,940,21,8,4122,61.23,29,252390.06,969,95.1,PO-2023-961647
34,295,20,2,2758,312.44,18,861709.52,313,87.32,PO-2025-618401
35,930,15,7,2320,332.45,6,771284,936,85.27,PO-2025-683765
36,686,5,13,1903,64.65,24,123028.95,710,96.53,PO-2025-624418
37,689,16,15,1268,58.48,20,74152.64,709,94.27,PO-2023-231170
38,906,10,12,1543,198.11,19,305683.73,925,89.89,PO-2023-900601
39,618,8,14,4437,163.36,27,724828.32,645,95.63,PO-2024-527382
40,971,8,2,3124,316.76,13,989558.24,984,98.33,PO-2024-505283
41,407,8,14,4432,82.84,25,367146.88,432,97.56,PO-2023-690760
42,756,20,10,625,107.63,6,67268.75,762,96.27,PO-2025-175247
43,171,12,4,1566,80.98,23,126814.68,194,89.44,PO-2025-721677
44,108,21,4,249,74.81,25,18627.69,133,94.97,PO-2023-557168
45,450,8,2,1311,97.41,26,127704.51,476,92.92,PO-2025-540834
46,829,5,13,1174,234.24,8,274997.76,837,95.53,PO-2024-837344
47,572,18,10,4714,29.28,20,138025.92,592,86.74,PO-2023-540269
48,365,18,6,1266,171.76,18,217448.16,383,95.4,PO-2025-882160
49,992,3,11,977,111.91,6,109336.07,998,96.25,PO-2025-509299
50,907,22,2,4799,340.46,12,1633867.54,919,91.07,PO-2025-595770
51,735,12,13,1811,158.21,8,286518.31,743,89.06,PO-2024-148309
52,34,9,12,4661,116.59,14,543425.99,48,97.88,PO-2025-249452
53,862,21,2,1537,175.53,12,269789.61,874,98.28,PO-2023-237513
54,707,7,9,3979,57.43,18,228513.97,725,89.14,PO-2025-133962
