production_id,date_key,product_id,facility_id,quantity_produced,defective_units,defect_rate_pct,batch_number
1,399,4,4,4811,99,2.06,PROD-2024917457
2,255,7,8,2683,56,2.09,PROD-2025995458
3,862,18,3,3940,101,2.56,PROD-2024579211
4,381,16,8,7387,208,2.82,PROD-2025862389
5,909,17,4,1178,32,2.72,PROD-2023536667
6,831,18,6,3986,71,1.78,PROD-2024494147
7,572,21,6,3834,93,2.43,PROD-2024543960
8,296,15,4,5428,58,1.07,PROD-2023858373
9,301,10,2,3344,94,2.81,PROD-2025464698
10,75,12,6,9267,240,2.59,PROD-2025349454
11,866,17,2,2380,25,1.05,PROD-2025292527
12,456,7,3,1276,35,2.74,PROD-2024246036
13,816,4,4,8110,210,2.59,PROD-2024558913
14,532,11,7,6587,88,1.34,PROD-2025103834
15,52,7,3,6869,86,1.25,PROD-2024687846
16,694,3,8,4260,44,1.03,PROD-2025138653
17,920,2,5,6994,194,2.77,PROD-2024522684
18,1001,21,7,3881,95,2.45,PROD-2025824290
19,898,1,8,3752,91,2.43,PROD-2024277481
20,600,7,6,1547,34,2.2,PROD-2025499717
21,41,6,7,2490,62,2.49,PROD-2024179799
22,714,4,8,658,15,2.28,PROD-2023372908
23,646,3,4,8114,172,2.12,PROD-2023375976
24,407,16,8,2985,84,2.81,PROD-2024124557
25,634,11,4,5075,65,1.28,PROD-2024395903
26,326,16,3,4964,73,1.47,PROD-2023676286
27,502,18,3,8084,128,1.58,PROD-2024630980
28,661,5,8,3335,96,2.88,PROD-2023712764
29,411,12,7,6690,101,1.51,PROD-2025533485
30,735,6,5,5795,61,1.05,PROD-2024166316
31,742,12,4,5115,153,2.99,PROD-2024733574
32,643,10,4,5850,76,1.3,PROD-2023934798
33,697,5,5,1373,40,2.91,PROD-2025815460
34,691,14,7,3746,62,1.66,PROD-2024603317
35,942,4,5,3398,92,2.71,PROD-2023267777
36,63,5,1,1419,35,2.47,PROD-2025749133
37,565,22,2,8876,182,2.05,PROD-2023870594
38,237,4,3,3952,81,2.05,PROD-2025491481
39,523,6,7,4607,57,1.24,PROD-2023168517
40,525,14,5,6124,152,2.48,PROD-2024945769
41,549,18,1,1570,26,1.66,PROD-2025951771
42,16,9,2,4851,101,2.08,PROD-2024144719
43,579,22,2,7295,90,1.23,PROD-2024656524
44,824,9,6,6496,111,1.71,PROD-2023675696
45,163,1,5,2562,52,2.03,PROD-2024848691
46,491,20,7,811,11,1.36,PROD-2024414742
47,1081,9,7,8946,176,1.97,PROD-2024201054
48,403,8,5,1057,30,2.84,PROD-2025593462
49,108,22,6,6569,148,2.25,PROD-2023470150
50,49,19,6,8152,89,1.09,PROD-2023490606
51,231,11,7,6899,150,2.17,PROD-2025475048
52,520,1,1,6041,130,2.15,PROD-2024209281
53,381,2,6,9607,265,2.76,PROD-2024399316
54,155,16,1,2067,48,2.32,PROD-2025817546
55,115,5,7,5996,171,2.85,PROD-2024596009
56,623,2,3,7308,149,2.04,PROD-2025143677
57,282,10,1,2174,64,2.94,PROD-2025445253
58,281,10,7,2367,60,2.53,PROD-2023588431
59,769,10,8,9396,254,2.7,PROD-2024571030
60,490,6,5,2689,79,2.94,PROD-2025690032
61,217,17,6,7532,184,2.44,PROD-2025173640
62,737,10,7,3577,89,2.49,PROD-2024376526
63,1037,9,1,8030,196,2.44,PROD-2025169100
64,586,18,4,9775,291,2.98,PROD-2024689993
65,281,15,2,7423,129,1.74,PROD-2024882607
66,225,8,8,6913,166,2.4,PROD-2023761705
67,662,8,4,9503,99,1.04,PROD-2025955503
68,925,13,2,8764,117,1.34,PROD-2025133856
69,932,22,8,8578,179,2.09,PROD-2025178935
70,4,2,2,3783,102,2.7,PROD-2023736758
71,919,1,2,633,11,1.74,PROD-2023338624
72,463,19,4,2243,33,1.47,PROD-2023236090
73,614,6,3,5756,137,2.38,PROD-2025728619
74,882,17,3,9105,203,2.23,PROD-2023297420
75,913,14,5,6775,141,2.08,PROD-2025618800
76,654,19,8,5344,66,1.24,PROD-2025949259
77,386,16,8,6672,139,2.08,PROD-2024655328
78,1083,20,8,9953,214,2.15,PROD-2023947604
79,641,13,8,2483,34,1.37,PROD-2024311921
80,501,16,5,1693,18,1.06,PROD-2023900085
81,255,13,8,7198,133,1.85,PROD-2025580146
82,974,5,8,1184,32,2.7,PROD-2025345379
83,950,4,3,2960,33,1.11,PROD-2025704237
84,1013,2,6,594,13,2.19,PROD-2024463989
85,409,18,5,3685,74,2.01,PROD-2024408362
86,1024,13,5,8780,150,1.71,PROD-2024669989
87,1007,12,7,9168,248,2.71,PROD-2024558252
88,245,12,8,8619,139,1.61,PROD-2025253133
89,569,3,1,8446,170,2.01,PROD-2024695360
90,585,18,7,4421,102,2.31,PROD-2023169536
91,784,2,7,8164,106,1.3,PROD-2024220337
92,353,16,1,7565,197,2.6,PROD-2024402748
93,183,11,7,8743,87,1,PROD-2025589054
94,982,13,3,9749,113,1.16,PROD-2023887083
95,904,10,6,2436,67,2.75,PROD-2024162633
96,178,4,5,5207,97,1.86,PROD-2025777282
97,909,3,4,2686,53,1.97,PROD-2024656056
98,532,13,3,7607,191,2.51,PROD-2024250691
99,869,15,8,2981,66,2.21,PROD-2025440380
100,247,6,5,2491,26,1.04,PROD-2024409904
101,731,7,7,9404,193,2.05,PROD-2023865823
102,330,3,3,3844,67,1.74,PROD-2024540748
103,609,16,6,4949,68,1.37,PROD-2025679234
104,586,12,3,3964,45,1.14,PROD-2025412235
105,993,6,7,5905,82,1.39,PROD-2024516894
106,499,1,5,1718,29,1.69,PROD-2024245611
107,503,3,2,2064,34,1.65,PROD-2024961060
108,798,4,1,8348,188,2.25,PROD-2024162266
109,474,18,7,3390,75,2.21,PROD-2024621229
110,253,16,3,4138,66,1.59,PROD-2024141559
111,935,19,6,5822,166,2.85,PROD-2023357501
112,176,22,4,3895,111,2.85,PROD-2024912935
113,202,6,2,2043,45,2.2,PROD-2023953022
114,646,18,5,6562,145,2.21,PROD-2023436094
115,20,7,7,980,15,1.53,PROD-2025623125
116,227,18,6,2170,45,2.07,PROD-2024283024
117,692,5,4,5794,97,1.67,PROD-2025465110
118,110,22,7,8247,200,2.43,PROD-2025380884
119,327,3,6,7221,112,1.55,PROD-2025298822
120,242,12,8,1961,19,0.97,PROD-2025143768
121,359,3,3,422,8,1.9,PROD-2025367918
122,261,20,1,9176,98,1.07,PROD-2024974079
123,1054,10,4,4480,119,2.66,PROD-2025640272
124,352,19,4,9480,220,2.32,PROD-2025769209
125,342,14,3,6352,137,2.16,PROD-2023689110
126,308,1,1,8710,102,1.17,PROD-2025590825
127,586,16,8,8494,139,1.64,PROD-2023542664
128,851,21,2,6215,77,1.24,PROD-2024191279
129,535,15,8,9712,152,1.57,PROD-2025480164
130,1001,20,1,2938,45,1.53,PROD-2024829750
131,757,4,2,5674,74,1.3,PROD-2024919366
132,201,10,2,3869,70,1.81,PROD-2025490847
133,483,15,2,7988,173,2.17,PROD-2024679082
134,385,21,3,8902,220,2.47,PROD-2025799340
135,242,2,4,8722,155,1.78,PROD-2025726532
136,465,14,3,3375,98,2.9,PROD-2023742876
137,996,10,4,1710,21,1.23,PROD-2024988747
138,750,16,3,7739,143,1.85,PROD-2025909998
139,9,17,1,2789,65,2.33,PROD-2025456251
140,99,4,7,243,6,2.47,PROD-2024140727
141,113,3,4,7025,147,2.09,PROD-2025131817
142,756,15,3,9618,227,2.36,PROD-2024981896
143,229,10,4,7125,113,1.59,PROD-2023112689
144,903,11,4,1628,33,2.03,PROD-2023765767
145,324,5,1,482,11,2.28,PROD-2024349740
146,644,14,8,8602,155,1.8,PROD-2025967904
147,539,9,7,6758,174,2.57,PROD-2025914394
148,922,6,1,4262,73,1.71,PROD-2025920951
149,107,10,2,5011,126,2.51,PROD-2025719622
150,652,17,8,7508,101,1.35,PROD-2024261702
151,512,3,2,9238,180,1.95,PROD-2025533541
152,854,15,6,7965,193,2.42,PROD-2023819167
153,732,2,1,9201,155,1.68,PROD-2025669414
154,283,10,3,2005,26,1.3,PROD-2025607553
155,1036,2,2,5678,87,1.53,PROD-2024405408
156,62,12,2,6662,109,1.64,PROD-2023608433
157,924,11,3,1980,43,2.17,PROD-2023457787
158,577,8,5,2809,70,2.49,PROD-2023440762
159,942,8,4,310,4,1.29,PROD-2025177793
160,448,8,3,9618,278,2.89,PROD-2023239929
161,870,2,5,6228,155,2.49,PROD-2025589454
162,716,9,5,3987,65,1.63,PROD-2025264985
163,707,5,5,7061,88,1.25,PROD-2024476214
164,337,19,5,343,3,0.87,PROD-2023104516
165,598,5,5,7871,232,2.95,PROD-2024524128
166,278,16,8,3134,93,2.97,PROD-2025569148
167,718,20,1,7788,98,1.26,PROD-2023342656
168,727,10,5,6593,101,1.53,PROD-2023650734
169,26,9,8,6507,120,1.84,PROD-2025751540
170,405,7,8,6805,137,2.01,PROD-2025563894
171,1027,19,6,8613,233,2.71,PROD-2025638954
172,271,5,3,9630,126,1.31,PROD-2025812352
173,919,22,6,6336,102,1.61,PROD-2024554939
174,266,12,3,2808,51,1.82,PROD-2024268043
175,799,9,4,1323,19,1.44,PROD-2023659353
176,459,10,8,1144,29,2.53,PROD-2023443448
177,1096,6,7,9179,184,2,PROD-2024979862
178,631,17,5,4428,106,2.39,PROD-2023773424
179,8,9,5,3448,85,2.47,PROD-2024912074
180,357,22,3,6926,164,2.37,PROD-2024745377
181,956,18,8,5271,69,1.31,PROD-2024151414
182,727,11,8,7027,108,1.54,PROD-2023251219
183,368,6,4,2813,78,2.77,PROD-2024557734
184,899,19,6,1965,27,1.37,PROD-2025970221
185,115,2,6,9753,220,2.26,PROD-2024279354
186,504,3,3,3664,73,1.99,PROD-2025974789
187,785,13,5,2213,51,2.3,PROD-2024928297
188,932,13,5,5221,125,2.39,PROD-2025740590
189,313,9,6,8469,149,1.76,PROD-2024831586
190,483,13,2,8741,220,2.52,PROD-2023167430
191,671,9,4,7644,180,2.35,PROD-2023128477
192,954,8,2,1370,29,2.12,PROD-2023560529
193,142,13,3,832,19,2.28,PROD-2025126633
194,413,1,8,9164,129,1.41,PROD-2023129651
195,69,9,3,3035,31,1.02,PROD-2025144063
196,1063,3,4,7490,173,2.31,PROD-2024409605
197,898,2,2,7138,83,1.16,PROD-2024875390
198,795,18,6,2843,52,1.83,PROD-2024614539
199,314,19,3,7762,125,1.61,PROD-2023667486
200,4,7,4,5199,61,1.17,PROD-2025436891
201,553,17,6,3398,80,2.35,PROD-2025141018
202,597,16,4,9215,275,2.98,PROD-2023368039
203,474,9,7,1359,40,2.94,PROD-2025133616
204,457,17,4,2477,66,2.66,PROD-2024170466
205,14,14,8,8967,239,2.67,PROD-2024931012
206,326,15,5,8096,129,1.59,PROD-2023713736
207,1089,19,2,2938,72,2.45,PROD-2023651567
208,1008,6,6,4892,76,1.55,PROD-2024535426
209,1007,9,5,8961,253,2.82,PROD-2024876296
210,874,4,2,4470,105,2.35,PROD-2025843803
211,195,20,7,767,17,2.22,PROD-2023565840
212,638,5,4,6131,110,1.79,PROD-2025387730
213,517,5,1,3593,92,2.56,PROD-2024258287
214,1034,18,3,2716,50,1.84,PROD-2025127633
215,995,20,4,5505,161,2.92,PROD-2025588626
216,72,7,8,5324,60,1.13,PROD-2025923872
217,616,9,5,5818,83,1.43,PROD-2024619316
218,30,20,8,1037,26,2.51,PROD-2025692500
219,97,9,5,5170,94,1.82,PROD-2025412582
220,172,21,6,8980,144,1.6,PROD-2025102523
221,969,9,6,1225,28,2.29,PROD-2025236379
222,467,6,6,8349,159,1.9,PROD-2024159977
223,388,1,7,817,14,1.71,PROD-2025950043
224,787,19,2,1406,27,1.92,PROD-2025796059
225,1063,4,2,4756,126,2.65,PROD-2025800644
226,149,17,5,9484,177,1.87,PROD-2024934146
227,262,20,2,6298,96,1.52,PROD-2023898235
228,452,9,3,7703,212,2.75,PROD-2023375921
229,403,6,8,9939,107,1.08,PROD-2025790024
230,13,16,4,3723,87,2.34,PROD-2025981778
231,953,2,8,9332,97,1.04,PROD-2023423510
232,667,14,4,9851,191,1.94,PROD-2024984301
233,374,21,2,9452,239,2.53,PROD-2025315483
234,955,19,6,2386,29,1.22,PROD-2023791199
235,421,22,6,4305,99,2.3,PROD-2024588104
236,634,12,4,296,8,2.7,PROD-2025927820
237,501,7,3,4339,82,1.89,PROD-2025451169
238,1052,10,1,3574,104,2.91,PROD-2023767565
239,564,3,2,6707,70,1.04,PROD-2024560412
240,360,16,6,4854,99,2.04,PROD-2024229668
241,908,9,6,7424,196,2.64,PROD-2025326666
242,376,19,8,3180,89,2.8,PROD-2024922619
243,178,17,1,4250,66,1.55,PROD-2025753935
244,923,21,3,5987,92,1.54,PROD-2025636624
245,437,10,2,5774,129,2.23,PROD-2023513178
246,604,18,7,2872,83,2.89,PROD-2024534959
247,191,16,6,2107,42,1.99,PROD-2024471248
248,479,21,2,3644,102,2.8,PROD-2025206791
249,339,8,7,6879,76,1.1,PROD-2024940268
250,768,17,8,6685,198,2.96,PROD-2025511687
251,664,14,2,7887,202,2.56,PROD-2025783563
252,283,14,1,6362,132,2.07,PROD-2023150222
253,622,16,1,470,6,1.28,PROD-2025701451
254,902,14,2,718,11,1.53,PROD-2023299412
255,759,8,8,3052,50,1.64,PROD-2025387667
256,485,3,6,6121,88,1.44,PROD-2023714585
257,700,12,6,209,2,0.96,PROD-2024713152
258,127,15,2,2372,25,1.05,PROD-2025358562
259,968,5,2,7818,107,1.37,PROD-2025725050
260,1034,16,2,3965,78,1.97,PROD-2025936388
261,795,4,7,4588,101,2.2,PROD-2024636997
262,463,4,1,5818,173,2.97,PROD-2025921122
263,524,15,2,4414,98,2.22,PROD-2023419391
264,634,5,2,7872,177,2.25,PROD-2025559526
265,261,12,2,8379,138,1.65,PROD-2025344624
266,575,3,2,2155,40,1.86,PROD-2024420762
267,157,18,4,831,21,2.53,PROD-2025773194
268,765,3,2,631,12,1.9,PROD-2025189294
