sales_id,date_key,product_id,customer_id,quantity_sold,unit_price,unit_cost,discount_pct,discount_amount,gross_revenue,net_revenue,total_cost,profit,profit_margin_pct,order_number
1,42,4,7,16,250,170,10,25.0,4000,3975.0,2720,1255.0,31.572327044025155,ORD-0
2,179,2,35,5,150,100,5,7.5,750,742.5,500,242.5,32.659932659932664,ORD-1
3,63,2,56,5,150,100,0,0.0,750,750.0,500,250.0,33.33333333333333,ORD-2
4,352,5,20,7,130,90,5,6.5,910,903.5,630,273.5,30.271167681239625,ORD-3
5,231,3,14,8,220,150,5,11.0,1760,1749.0,1200,549.0,31.3893653516295,ORD-4
6,241,1,50,19,120,80,0,0.0,2280,2280.0,1520,760.0,33.33333333333333,ORD-5
7,52,3,50,1,220,150,0,0.0,220,220.0,150,70.0,31.818181818181817,ORD-6
8,96,3,56,18,220,150,5,11.0,3960,3949.0,2700,1249.0,31.62826031906812,ORD-7
9,222,3,30,11,220,150,5,11.0,2420,2409.0,1650,759.0,31.506849315068493,ORD-8
10,231,5,56,16,130,90,0,0.0,2080,2080.0,1440,640.0,30.76923076923077,ORD-9
11,237,2,1,11,150,100,0,0.0,1650,1650.0,1100,550.0,33.33333333333333,ORD-10
12,143,1,38,9,120,80,5,6.0,1080,1074.0,720,354.0,32.960893854748605,ORD-11
13,171,3,41,7,220,150,10,22.0,1540,1518.0,1050,468.0,30.8300395256917,ORD-12
14,29,1,25,15,120,80,10,12.0,1800,1788.0,1200,588.0,32.88590604026846,ORD-13
15,36,3,34,11,220,150,10,22.0,2420,2398.0,1650,748.0,31.19266055045872,ORD-14
16,13,2,8,19,150,100,0,0.0,2850,2850.0,1900,950.0,33.33333333333333,ORD-15
17,160,1,56,7,120,80,10,12.0,840,828.0,560,268.0,32.367149758454104,ORD-16
18,327,4,20,16,250,170,10,25.0,4000,3975.0,2720,1255.0,31.572327044025155,ORD-17
19,187,2,30,3,150,100,0,0.0,450,450.0,300,150.0,33.33333333333333,ORD-18
20,243,1,4,16,120,80,0,0.0,1920,1920.0,1280,640.0,33.33333333333333,ORD-19
21,86,3,21,8,220,150,0,0.0,1760,1760.0,1200,560.0,31.818181818181817,ORD-20
22,284,3,27,10,220,150,10,22.0,2200,2178.0,1500,678.0,31.129476584022036,ORD-21
23,66,2,10,9,150,100,10,15.0,1350,1335.0,900,435.0,32.58426966292135,ORD-22
24,170,2,23,3,150,100,10,15.0,450,435.0,300,135.0,31.03448275862069,ORD-23
25,45,3,33,7,220,150,10,22.0,1540,1518.0,1050,468.0,30.8300395256917,ORD-24
26,62,1,11,8,120,80,0,0.0,960,960.0,640,320.0,33.33333333333333,ORD-25
27,134,4,41,3,250,170,10,25.0,750,725.0,510,215.0,29.655172413793103,ORD-26
28,284,5,19,16,130,90,0,0.0,2080,2080.0,1440,640.0,30.76923076923077,ORD-27
29,28,2,11,14,150,100,5,7.5,2100,2092.5,1400,692.5,33.09438470728793,ORD-28
30,108,3,4,7,220,150,5,11.0,1540,1529.0,1050,479.0,31.32766514061478,ORD-29
31,44,1,23,4,120,80,5,6.0,480,474.0,320,154.0,32.48945147679325,ORD-30
32,340,2,5,6,150,100,10,15.0,900,885.0,600,285.0,32.20338983050847,ORD-31
33,286,1,53,7,120,80,0,0.0,840,840.0,560,280.0,33.33333333333333,ORD-32
34,331,2,49,12,150,100,5,7.5,1800,1792.5,1200,592.5,33.054393305439326,ORD-33
35,128,3,50,7,220,150,0,0.0,1540,1540.0,1050,490.0,31.818181818181817,ORD-34
36,348,1,5,1,120,80,10,12.0,120,108.0,80,28.0,25.925925925925924,ORD-35
37,231,3,18,18,220,150,10,22.0,3960,3938.0,2700,1238.0,31.437277805992892,ORD-36
38,190,1,17,11,120,80,5,6.0,1320,1314.0,880,434.0,33.02891933028919,ORD-37
39,225,2,58,11,150,100,5,7.5,1650,1642.5,1100,542.5,33.02891933028919,ORD-38
40,283,5,3,17,130,90,5,6.5,2210,2203.5,1530,673.5,30.56501021102791,ORD-39
41,121,5,43,12,130,90,10,13.0,1560,1547.0,1080,467.0,30.187459599224304,ORD-40
42,116,4,49,19,250,170,10,25.0,4750,4725.0,3230,1495.0,31.64021164021164,ORD-41
43,233,4,58,18,250,170,5,12.5,4500,4487.5,3060,1427.5,31.81058495821727,ORD-42
